tconst	averageRating	numVotes
tt0000452	4.4	131
tt0000455	6.7	2044
tt0000456	3.8	75
tt0000459	4.3	88
tt0000460	3.3	22
tt0000463	5.5	14
tt0000464	4.8	539
tt0000465	7.3	2044
tt0000469	5.8	1250
tt0000471	5.2	577
tt0000472	5.2	30
tt0000479	5.2	450
tt0000480	5.0	244
tt0000487	6.7	593
tt0000488	6.9	957
tt0000491	3.6	78
tt0000492	4.9	167
tt0000495	5.9	149
tt0000496	5.6	106
tt0000497	5.0	107
tt0000498	6.6	1437
tt0000499	7.4	4331
tt0000500	3.0	22
tt0000501	4.2	60
tt0000502	3.1	25
tt0000505	6.2	40
tt0000506	4.2	13
tt0000507	3.4	68
tt0000509	5.4	61
tt0000511	5.6	60
tt0000512	4.5	79
tt0000515	4.7	131
tt0000516	6.5	1234
tt0000519	5.6	467
tt0000520	5.9	80
tt0000521	5.5	387
tt0000522	2.6	21
tt0000524	5.8	880
tt0000525	5.4	65
tt0000526	4.0	76
tt0000528	4.9	22
tt0000533	4.5	53
tt0000534	6.6	1414
tt0000535	4.8	86
tt0000537	4.3	105
tt0000542	5.4	10
tt0000543	4.2	23
tt0000544	4.2	14
tt0000546	6.7	2124
tt0000548	4.2	12
tt0000550	2.9	18
tt0000552	5.5	88
tt0000553	6.5	609
tt0000554	6.3	1624
tt0000555	4.7	30
tt0000557	4.6	158
tt0000561	4.8	80
tt0000565	6.2	733
tt0000567	6.8	1538
tt0000570	3.8	67
tt0000571	6.5	79
tt0000574	6.0	1039
tt0000575	5.7	636
tt0000576	6.1	268
tt0000578	6.7	33
tt0000580	3.3	11
tt0000581	3.4	16
tt0000582	4.7	833
tt0000583	5.1	66
tt0000584	5.0	102
tt0000586	4.5	30
tt0000588	4.2	17
tt0000591	4.8	36
tt0000594	5.1	26
tt0000595	5.3	22
tt0000596	4.9	31
tt0000597	4.9	89
tt0000598	5.2	44
tt0000599	3.5	19
tt0000601	5.8	17
tt0000602	4.1	283
tt0000603	5.6	18
tt0000606	5.8	21
tt0000608	5.6	30
tt0000609	4.3	26
tt0000610	4.9	27
tt0000611	4.0	25
tt0000613	3.9	17
tt0000614	6.5	1343
tt0000615	3.6	32
tt0000617	4.9	49
tt0000618	7.1	21
tt0000621	6.5	679
tt0000623	3.4	14
tt0000626	4.6	17
tt0000627	5.4	67
tt0000628	5.7	1024
tt0000629	5.8	88
tt0000630	3.0	36
tt0000632	4.8	73
tt0000634	4.4	32
tt0000637	5.5	865
tt0000638	4.9	97
tt0000639	4.8	108
tt0000640	4.4	168
tt0000641	4.6	201
tt0000642	5.1	73
tt0000643	6.0	23
tt0000644	5.5	66
tt0000645	5.1	205
tt0000648	4.6	198
tt0000650	6.6	27
tt0000651	4.7	91
tt0000653	4.5	251
tt0000654	4.7	140
tt0000658	6.4	330
tt0000659	4.6	91
tt0000660	5.7	64
tt0000661	7.8	27
tt0000662	3.9	77
tt0000663	5.5	66
tt0000665	5.7	67
tt0000666	5.4	35
tt0000668	6.5	66
tt0000669	4.9	182
tt0000671	5.8	19
tt0000672	6.4	49
tt0000673	5.6	21
tt0000674	4.7	64
tt0000675	4.0	26
tt0000676	3.6	20
tt0000679	5.1	81
tt0000680	5.3	57
tt0000681	4.9	47
tt0000682	6.9	3192
tt0000683	5.5	109
tt0000684	4.9	154
tt0000685	6.0	52
tt0000689	6.2	62
tt0000690	5.9	49
tt0000692	4.3	11
tt0000694	5.6	57
tt0000695	5.7	60
tt0000697	5.1	37
tt0000698	5.8	30
tt0000699	6.1	29
tt0000700	4.9	90
tt0000704	5.6	69
tt0000706	5.2	34
tt0000707	5.0	32
tt0000708	4.1	54
tt0000709	5.6	93
tt0000711	2.7	29
tt0000712	3.6	25
tt0000713	4.6	29
tt0000717	6.3	28
tt0000720	6.1	24
tt0000722	4.2	17
tt0000724	5.4	47
tt0000725	3.8	28
tt0000727	5.9	24
tt0000728	5.8	156
tt0000730	5.8	84
tt0000731	5.1	27
tt0000733	5.6	36
tt0000734	4.0	20
tt0000736	3.2	20
tt0000737	4.5	44
tt0000738	7.3	26
tt0000739	6.2	20
tt0000740	5.4	24
tt0000741	5.3	37
tt0000743	5.6	20
tt0000746	7.7	22
tt0000747	5.6	37
tt0000748	5.5	34
tt0000749	5.8	942
tt0000752	5.1	166
tt0000754	6.8	87
tt0000755	5.7	251
tt0000756	5.3	165
tt0000758	5.8	34
tt0000759	6.8	16
tt0000760	4.8	12
tt0000762	5.5	58
tt0000764	5.5	166
tt0000765	4.0	20
tt0000767	6.7	27
tt0000768	6.5	16
tt0000769	5.2	197
tt0000770	5.4	201
tt0000771	5.6	25
tt0000772	6.3	23
tt0000775	6.7	15
tt0000776	5.6	171
tt0000778	7.0	18
tt0000779	6.1	22
tt0000781	5.9	24
tt0000782	7.9	28
tt0000784	3.7	37
tt0000785	5.3	83
tt0000787	5.6	27
tt0000789	5.1	92
tt0000790	6.1	495
tt0000792	4.5	72
tt0000793	4.1	24
tt0000797	5.3	204
tt0000798	4.3	21
tt0000800	5.0	131
tt0000801	5.1	77
tt0000803	6.2	22
tt0000807	4.8	65
tt0000809	6.1	68
tt0000815	4.7	67
tt0000816	4.6	146
tt0000817	4.3	26
tt0000819	5.4	70
tt0000821	4.6	149
tt0000823	4.6	61
tt0000825	4.5	59
tt0000826	4.3	57
tt0000827	5.1	111
tt0000828	5.3	126
tt0000829	4.4	62
tt0000831	5.3	163
tt0000832	6.6	2950
tt0000833	6.4	861
tt0000835	4.7	186
tt0000836	4.7	62
tt0000837	5.1	47
tt0000838	2.7	14
tt0000840	5.6	403
tt0000841	5.2	97
tt0000842	4.4	16
tt0000843	5.2	45
tt0000844	5.9	41
tt0000845	4.5	46
tt0000846	2.8	14
tt0000847	5.3	20
tt0000848	5.2	27
tt0000850	3.2	15
tt0000851	4.9	49
tt0000852	5.6	322
tt0000853	5.2	44
tt0000854	5.9	622
tt0000855	5.2	53
tt0000856	3.6	14
tt0000857	5.0	43
tt0000858	4.6	41
tt0000859	3.2	15
tt0000860	4.7	95
tt0000861	4.9	61
tt0000862	3.8	21
tt0000864	5.6	62
tt0000866	5.0	12
tt0000867	2.8	14
tt0000868	3.8	14
tt0000869	3.8	14
tt0000870	5.5	61
tt0000871	5.6	141
tt0000873	6.4	15
tt0000874	5.2	57
tt0000875	4.8	39
tt0000877	4.6	127
tt0000878	5.0	201
tt0000880	5.6	98
tt0000882	5.6	255
